ID,VOICED/UNVOICED,SPEAKER,OWNER,
0,0,,Kuba,
1,1,1,Kuba,
2,1,1,Kuba,
3,1,1,Kuba,
4,1,1,Kuba,
5,0,,Kuba,
6,0,,Kuba,
7,0,,Kuba,
8,1,1,Kuba,
9,1,1,Kuba,
10,1,1,Kuba,
11,1,1,Kuba,
12,1,1,Kuba,
13,1,1,Kuba,
14,1,1,Kuba,
15,0,,Kuba,
16,0,,Kuba,
17,0,,Kuba,
18,0,,Kuba,
19,1,1,Kuba,
20,1,1,Kuba,
21,1,1,Kuba,
22,1,1,Kuba,
23,0,,Kuba,
24,0,,Kuba,
25,0,,Kuba,
26,1,1,Kuba,
27,1,1,Kuba,
28,1,1,Kuba,
29,1,1,Kuba,
30,1,1,Kuba,
31,1,1,Kuba,
32,1,1,Kuba,
33,0,,Kuba,
34,1,1,Kuba,
35,1,1,Kuba,
36,0,,Kuba,
37,0,,Kuba,
38,1,1,Kuba,
39,1,1,Kuba,
40,1,1,Kuba,
41,1,1,Kuba,
42,1,1,Kuba,
43,1,1,Kuba,
44,1,1,Kuba,
45,1,1,Kuba,
46,0,,Kuba,
47,1,1,Kuba,
48,1,1,Kuba,
49,1,1,Kuba,
50,1,1,Kuba,
51,1,1,Kuba,
52,1,1,Kuba,
53,0,,Kuba,
54,1,1,Kuba,
55,1,1,Kuba,
56,1,1,Kuba,
57,1,1,Kuba,
58,1,1,Kuba,
59,1,1,Kuba,
60,1,1,Kuba,
61,1,1,Kuba,
62,1,1,Kuba,
63,1,1,Kuba,
64,1,1,Kuba,
65,1,1,Kuba,
66,1,1,Kuba,
67,1,1,Kuba,
68,1,1,Kuba,
69,1,1,Kuba,
70,1,1,Kuba,
71,1,1,Kuba,
72,1,1,Kuba,
73,1,1,Kuba,
74,1,1,Kuba,
75,1,1,Kuba,
76,1,1,Kuba,
77,1,1,Kuba,
78,1,1,Kuba,
79,1,1,Kuba,
80,1,1,Kuba,
81,1,1,Kuba,
82,1,1,Kuba,
83,1,1,Kuba,
84,1,1,Kuba,
85,1,1,Kuba,
86,1,1,Kuba,
87,1,1,Kuba,
88,1,1,Kuba,
89,1,1,Kuba,
90,1,1,Kuba,
91,0,,Kuba,
92,1,1,Kuba,
93,1,1,Kuba,
94,1,1,Kuba,
95,1,1,Kuba,
96,1,1,Kuba,
97,1,1,Kuba,
98,1,1,Kuba,
99,1,1,Kuba,
100,1,1,Kuba,
101,1,1,Kuba,
102,1,1,Kuba,
103,0,,Kuba,
104,0,,Kuba,
105,1,1,Kuba,
106,1,1,Kuba,
107,1,1,Kuba,
108,1,1,Kuba,
109,0,,Kuba,
110,1,1,Kuba,
111,1,1,Kuba,
112,1,1,Kuba,
113,1,1,Kuba,
114,1,1,Kuba,
115,1,1,Kuba,
116,1,1,Kuba,
117,1,1,Kuba,
118,1,1,Kuba,
119,1,1,Kuba,
120,1,1,Kuba,
121,1,1,Kuba,
122,1,1,Kuba,
123,1,1,Kuba,
124,1,1,Kuba,
125,1,1,Kuba,
126,1,1,Kuba,
127,1,1,Kuba,
128,1,1,Kuba,
129,1,1,Kuba,
130,1,1,Kuba,
131,0,,Kuba,
132,0,,Kuba,
133,0,,Kuba,
134,0,1,Kuba,
135,1,1,Kuba,
136,1,1,Kuba,
137,1,1,Kuba,
138,1,1,Kuba,
139,0,,Kuba,
140,0,,Kuba,
141,0,,Kuba,
142,1,1,Kuba,
143,1,1,Kuba,
144,1,1,Kuba,
145,1,1,Kuba,
146,0,,Kuba,
147,1,1,Kuba,
148,1,1,Kuba,
149,1,1,Kuba,
150,0,,Kuba,
151,1,1,Kuba,
152,1,1,Kuba,
153,1,1,Kuba,
154,1,1,Kuba,
155,1,1,Kuba,
156,1,1,Kuba,
157,0,,Kuba,
158,1,1,Kuba,
159,1,1,Kuba,
160,1,1,Kuba,
161,1,1,Kuba,
162,1,1,Kuba,
163,1,1,Kuba,
164,1,1,Kuba,
165,0,,Kuba,
166,1,1,Kuba,
167,1,1,Kuba,
168,1,1,Kuba,
169,0,,Kuba,
170,1,1,Kuba,
171,1,1,Kuba,
172,1,1,Kuba,
173,1,1,Kuba,
174,1,1,Kuba,
175,0,,Kuba,
176,0,,Kuba,
177,0,,Kuba,
178,0,,Kuba,
179,0,,Kuba,
180,0,,Kuba,
181,1,1,Kuba,
182,1,1,Kuba,
183,1,1,Kuba,
184,1,1,Kuba,
185,1,1,Kuba,
186,1,1,Kuba,
187,1,1,Kuba,
188,1,1,Kuba,
189,0,,Kuba,
190,0,,Kuba,
191,1,1,Kuba,
192,1,1,Kuba,
193,1,1,Kuba,
194,1,1,Kuba,
195,1,1,Kuba,
196,1,1,Kuba,
197,1,1,Kuba,
198,0,,Kuba,
199,1,1,Kuba,
200,1,1,Kuba,
201,1,1,Kuba,
202,1,1,Kuba,
203,1,1,Kuba,
204,1,1,Kuba,
205,1,1,Kuba,
206,0,,Kuba,
207,0,,Kuba,
208,1,1,Kuba,
209,1,1,Kuba,
210,1,1,Kuba,
211,1,1,Kuba,
212,1,1,Kuba,
213,0,,Kuba,
214,0,,Kuba,
215,0,,Kuba,
216,1,1,Kuba,
217,1,1,Kuba,
218,1,1,Kuba,
219,1,1,Kuba,
220,1,1,Kuba,
221,1,1,Kuba,
222,1,1,Kuba,
223,1,1,Kuba,
224,1,1,Kuba,
225,1,1,Kuba,
226,1,1,Kuba,
227,1,1,Kuba,
228,1,1,Kuba,
229,1,1,Kuba,
230,1,1,Kuba,
231,1,1,Kuba,
232,1,1,Kuba,
233,1,1,Kuba,
234,1,1,Kuba,
235,1,1,Kuba,
236,1,1,Kuba,
237,1,1,Kuba,
238,1,1,Kuba,
239,0,,Kuba,
240,0,,Kuba,
241,1,1,Kuba,
242,1,1,Kuba,
243,1,1,Kuba,
244,1,1,Kuba,
245,1,1,Kuba,
246,1,1,Kuba,
247,1,1,Kuba,
248,1,1,Kuba,
249,1,1,Kuba,
250,1,1,Kuba,
251,1,1,Kuba,
252,1,1,Kuba,
253,1,1,Kuba,
254,1,1,Kuba,
255,1,1,Kuba,
256,0,,Kuba,
257,1,1,Kuba,
258,1,1,Kuba,
259,1,1,Kuba,
260,1,1,Kuba,
261,1,1,Kuba,
262,1,1,Kuba,
263,1,1,Kuba,
264,1,1,Kuba,
265,1,1,Kuba,
266,1,1,Kuba,
267,1,1,Kuba,
268,1,1,Kuba,
269,1,1,Kuba,
270,1,1,Kuba,
271,1,1,Kuba,
272,1,1,Kuba,
273,1,1,Kuba,
274,1,1,Kuba,
275,1,1,Kuba,
276,1,1,Kuba,
277,1,1,Kuba,
278,1,1,Kuba,
279,0,,Kuba,
280,1,1,Kuba,
281,1,1,Kuba,
282,1,1,Kuba,
283,0,,Kuba,
284,1,1,Kuba,
285,1,1,Kuba,
286,1,1,Kuba,
287,1,1,Kuba,
288,1,1,Kuba,
289,1,1,Kuba,
290,0,,Kuba,
291,1,1,Kuba,
292,1,1,Kuba,
293,1,1,Kuba,
294,1,1,Kuba,
295,1,1,Kuba,
296,1,1,Kuba,
297,1,1,Kuba,
298,1,1,Kuba,
299,1,1,Kuba,
300,1,1,Kuba,
301,1,1,Kuba,
302,1,1,Kuba,
303,1,1,Kuba,
304,0,,Kuba,
305,1,1,Kuba,
306,1,1,Kuba,
307,1,1,Kuba,
308,1,1,Kuba,
309,1,1,Kuba,
310,1,1,Kuba,
311,1,1,Kuba,
312,0,,Kuba,
313,1,1,Kuba,
314,1,1,Kuba,
315,1,1,Kuba,
316,1,1,Kuba,
317,1,1,Kuba,
318,1,1,Kuba,
319,1,1,Kuba,
320,1,1,Kuba,
321,1,1,Kuba,
322,1,1,Kuba,
323,0,,Kuba,
324,0,1,Kuba,
325,1,1,Kuba,
326,1,1,Kuba,
327,1,1,Kuba,
328,1,1,Kuba,
329,1,1,Kuba,
330,1,1,Kuba,
331,1,1,Kuba,
332,1,1,Kuba,
333,1,1,Kuba,
334,1,1,Kuba,
335,1,1,Kuba,
